Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Sector,Daily Return,Cumulative Return,MA50,MA200,Change %,Country
7/26/2023,193.6699982,195.6399994,193.3200073,194.5,192.3536072,47471900,AAPL,Technology,0.004544805,1.651744274,182.3708109,156.1741003,,
7/27/2023,196.0200043,197.1999969,192.5500031,193.2200012,191.0877533,47460200,AAPL,Technology,-0.006580869,1.634293492,182.7891431,156.4399741,,
7/28/2023,194.6699982,196.6300049,194.1399994,195.8300018,193.6689453,48291400,AAPL,Technology,0.013507888,1.669877234,183.2590991,156.7171297,,
7/31/2023,196.0599976,196.4900055,195.2599945,196.4499969,194.2820892,38824100,AAPL,Technology,0.003165938,1.678329901,183.7290549,157.0044391,,
8/1/2023,196.2400055,196.7299957,195.2799988,195.6100006,193.451355,35175100,AAPL,Technology,-0.004275918,1.666877582,184.1357169,157.2907449,,
8/2/2023,195.0399933,195.1799927,191.8500061,192.5800018,190.4547882,50389300,AAPL,Technology,-0.015490027,1.625567575,184.4802722,157.5391792,,
8/3/2023,191.5700073,192.3699951,190.6900024,191.1699982,189.0603638,61235200,AAPL,Technology,-0.007321551,1.606344349,184.8159268,157.8033332,,
8/4/2023,185.5200043,187.3800049,181.9199982,181.9900055,179.9816589,115956800,AAPL,Technology,-0.048020138,1.481187332,185.0222244,158.0022569,,
8/7/2023,182.1300049,183.1300049,177.3500061,178.8500061,176.8763275,97576100,AAPL,Technology,-0.017253599,1.43837792,185.1608774,158.1790578,,
8/8/2023,179.6900024,180.2700043,177.5800018,179.8000031,177.8158569,67823000,AAPL,Technology,0.005311787,1.451330065,185.2955746,158.360015,,
8/9/2023,180.8699951,180.9299927,177.0099945,178.1900024,176.223587,60378500,AAPL,Technology,-0.0089546,1.429379384,185.3501654,158.5353246,,
8/10/2023,179.4799957,180.75,177.6000061,177.9700012,176.0060577,54686900,AAPL,Technology,-0.001234394,1.426380574,185.363418,158.6904478,,
8/11/2023,177.3200073,178.6199951,176.5500031,177.7899933,176.0654449,52036700,AAPL,Technology,0.000337416,1.427199273,185.3788474,158.8351373,,
8/14/2023,177.9700012,179.6900024,177.3099976,179.4600067,177.7192535,43675600,AAPL,Technology,0.009393147,1.449998312,185.3711798,158.9738705,,
8/15/2023,178.8800049,179.4799957,177.0500031,177.4499969,175.7287292,43622600,AAPL,Technology,-0.011200386,1.422557384,185.3066916,159.1173688,,
8/16/2023,177.1300049,178.5399933,176.5,176.5700073,174.8572845,46964900,AAPL,Technology,-0.004959034,1.410543841,185.2518719,159.2789062,,
8/17/2023,177.1399994,177.5099945,173.4799957,174,172.3122253,66062900,AAPL,Technology,-0.014555065,1.375458217,185.1534695,159.3738683,,
8/18/2023,172.3000031,175.1000061,171.9600067,174.4900055,172.7974854,61172200,AAPL,Technology,0.002816167,1.382147905,185.0922653,159.4830704,,
8/21/2023,175.0700073,176.1300049,173.7400055,175.8399963,174.1343536,46311900,AAPL,Technology,0.007736619,1.400577675,185.0034055,159.6121978,,
8/22/2023,177.0599976,177.6799927,176.25,177.2299957,175.5108643,42038900,AAPL,Technology,0.007904877,1.419553946,184.9343619,159.775871,,
8/23/2023,178.5200043,181.5500031,178.3300018,181.1199951,179.3631287,52722800,AAPL,Technology,0.021948866,1.472660411,184.8863885,159.9890778,,
8/24/2023,180.6699982,181.1000061,176.0099945,176.3800049,174.6691284,54945800,AAPL,Technology,-0.026170374,1.407949962,184.7540292,160.1801456,,
8/25/2023,177.3800049,179.1499939,175.8200073,178.6100006,176.8775024,51449600,AAPL,Technology,0.012643185,1.438394117,184.6531784,160.3795929,,
8/28/2023,180.0899963,180.5899963,178.5500031,180.1900024,178.4421844,43820700,AAPL,Technology,0.008846134,1.459964477,184.542876,160.584004,,
8/29/2023,179.6999969,184.8999939,179.5,184.1199951,182.3340607,53003900,AAPL,Technology,0.021810292,1.513617022,184.5319705,160.8307026,,
8/30/2023,184.9400024,187.8500061,184.7400055,187.6499939,185.8297882,60813900,AAPL,Technology,0.019172104,1.561808349,184.5891998,161.0357142,,
8/31/2023,187.8399963,189.1199951,187.4799957,187.8699951,186.0476685,60794500,AAPL,Technology,0.001172472,1.564811997,184.6715543,161.227862,,
9/1/2023,189.4900055,189.9199982,188.2799988,189.4600067,187.6222534,45766500,AAPL,Technology,0.008463342,1.586518877,184.7252716,161.434884,,
9/5/2023,188.2799988,189.9799957,187.6100006,189.6999969,187.8599091,45280000,AAPL,Technology,0.001266671,1.589795145,184.7900717,161.6344167,,
9/6/2023,188.3999939,188.8500061,181.4700012,182.9100037,181.135788,81755800,AAPL,Technology,-0.035793273,1.4970979,184.7482779,161.8064918,,
9/7/2023,175.1799927,178.2100067,173.5399933,177.5599976,175.8376923,112488800,AAPL,Technology,-0.029249304,1.424059524,184.5453381,161.9425605,,
9/8/2023,178.3500061,180.2400055,177.7899933,178.1799927,176.4516602,65551300,AAPL,Technology,0.003491674,1.43252355,184.3311401,162.0788888,,
9/11/2023,180.0700073,180.3000031,177.3399963,179.3600006,177.6202087,58953100,AAPL,Technology,0.006622486,1.448632902,184.133588,162.2372317,,
9/12/2023,179.4900055,180.1300049,174.8200073,176.3000031,174.5899048,90370200,AAPL,Technology,-0.017060581,1.406857802,183.7887964,162.3697241,,
9/13/2023,176.5099945,177.3000031,173.9799957,174.2100067,172.5201874,84267900,AAPL,Technology,-0.011854737,1.378325136,183.432478,162.4874799,,
9/14/2023,174,176.1000061,173.5800018,175.7400055,174.0353394,60895800,AAPL,Technology,0.008782462,1.399212686,183.1288126,162.6274054,,
9/15/2023,176.4799957,176.5,173.8200073,175.0099945,173.3123932,109259500,AAPL,Technology,-0.004154019,1.38924631,182.8011945,162.7828957,,
