Date,Price,Open,High,Low,Vol.,Change %
1/18/2023,24.45,24.2,24.5,24.2,13.16M,1.03%
1/17/2023,24.2,24.1,24.2,23.9,16.75M,0.41%
1/16/2023,24.1,24.5,24.2,24,20.03M,-1.63%
1/13/2023,24.5,24.5,24.95,24.5,18.20M,0.00%
1/12/2023,24.5,24,24.5,24,19.81M,2.08%
1/11/2023,24,23.5,24,23.4,33.98M,1.48%
1/10/2023,23.65,23.7,23.7,23.4,9.92M,-0.21%
1/9/2023,23.7,24,23.95,23.7,8.29M,-1.25%
1/6/2023,24,24,24,23.85,10.18M,0.00%
1/5/2023,24,23.5,24,23.45,19.95M,2.13%
1/4/2023,23.5,23.25,23.5,23.1,12.23M,1.08%
1/3/2023,23.25,23,23.3,22.3,13.76M,1.09%
12/30/2022,23,23.4,23.3,23,8.13M,-1.71%
12/29/2022,23.4,23.3,24.5,23.3,38.53M,0.43%
12/28/2022,23.3,22.45,23.3,22.6,25.74M,3.79%
12/23/2022,22.45,22.15,22.45,22.35,2.73M,1.35%
12/22/2022,22.15,22.05,22.65,22,6.64M,0.45%
12/21/2022,22.05,21.65,22.25,22,6.87M,1.85%
12/20/2022,21.65,21.6,21.8,21.2,16.44M,0.23%
12/19/2022,21.6,20.9,21.6,21,16.61M,3.35%
12/16/2022,20.9,20.5,21,20.8,13.58M,1.95%
12/15/2022,20.5,20.95,20.95,20.5,10.47M,-1.91%
12/14/2022,20.9,21,21,20.9,10.21M,-0.48%
12/13/2022,21,21,21,20.9,19.21M,0.00%
12/12/2022,21,21,21.35,20.95,17.20M,0.00%
12/9/2022,21,20.9,21.5,20.9,7.27M,0.48%
12/8/2022,20.9,21,21.05,20.9,3.95M,-0.48%
12/7/2022,21,21.05,21.2,21,4.24M,-0.24%
12/6/2022,21.05,21.4,21.4,21.05,3.76M,-1.64%
12/5/2022,21.4,21.4,21.5,21.15,8.25M,0.00%
12/2/2022,21.4,20.3,21.4,20.35,5.58M,5.42%
12/1/2022,20.3,20,20.55,20.05,3.85M,1.50%
11/30/2022,20,19.9,20.2,20,4.17M,0.50%
11/29/2022,19.9,19.95,20,19.85,8.49M,-0.25%
11/28/2022,19.95,20,20,19.9,5.61M,-0.25%
11/25/2022,20,20.3,20,20,5.35M,-1.48%
11/24/2022,20.3,20.5,20.3,20.2,7.13M,-0.98%
11/23/2022,20.5,20.4,20.5,20,11.55M,0.49%
11/22/2022,20.4,19.5,20.4,20,2.68M,4.62%
11/21/2022,19.5,19.45,19.9,19.5,8.31M,0.26%
11/18/2022,19.45,19,19.45,19.2,3.58M,2.37%
11/17/2022,19,19.3,19.5,19,7.00M,-1.55%
11/16/2022,19.3,18.1,19.3,18.2,20.82M,6.63%
11/15/2022,18.1,17.7,18.1,18,5.97M,2.26%
11/14/2022,17.7,17.55,17.7,17.6,3.74M,0.85%
11/11/2022,17.55,17.6,17.7,17.45,15.52M,-0.28%
11/10/2022,17.6,17.55,17.6,17.6,23.88M,0.28%
11/9/2022,17.55,17.5,17.6,17.55,8.97M,0.29%
11/8/2022,17.5,17.6,17.6,17.5,14.59M,-0.28%
11/7/2022,17.55,17.6,17.6,17.6,8.87M,-0.28%
11/4/2022,17.6,17.6,17.65,17.6,19.64M,0.00%
11/3/2022,17.6,17.6,17.7,17.55,6.48M,0.00%
11/2/2022,17.6,17.6,17.8,17.5,10.21M,0.00%
11/1/2022,17.6,17.6,17.8,17.6,9.26M,0.00%
10/31/2022,17.6,17.9,18,17.6,8.38M,-1.68%
10/28/2022,17.9,18,18,17.9,5.89M,-0.56%
10/27/2022,18,18.2,18,18,5.68M,-1.10%
10/26/2022,18.2,18.3,18.2,18,4.68M,-0.55%
10/25/2022,18.3,18.4,18.4,18.2,6.32M,-0.54%
10/24/2022,18.4,18.5,18.5,18.4,5.28M,-0.54%
10/21/2022,18.5,18.45,18.75,18.45,8.24M,0.27%
10/20/2022,18.45,18.45,18.65,18.4,8.32M,0.00%
10/19/2022,18.45,18.55,18.7,18.4,18.55M,-0.54%
10/18/2022,18.55,18.1,18.7,18.4,57.41M,2.49%
10/17/2022,18.1,17.9,18.3,18,33.72M,1.12%
10/14/2022,17.9,16.95,17.95,17,35.00M,5.60%
10/13/2022,16.95,16.85,17,16.9,19.15M,0.59%
10/12/2022,16.85,16.95,17,16.8,28.48M,-0.59%
10/11/2022,16.95,17,17.05,16.9,38.87M,-0.29%
10/7/2022,17,16.95,17,16.9,33.79M,0.29%
10/6/2022,16.95,17.3,17.25,16.9,27.73M,-2.02%
10/5/2022,17.3,17.6,17.6,17.3,19.47M,-1.70%
10/4/2022,17.6,17.75,17.95,17.6,71.19M,-0.85%
9/30/2022,17.75,17.8,17.9,17.5,135.62M,-0.28%
9/29/2022,17.8,18,18.55,17.8,10.00M,-1.11%
9/28/2022,18,18.75,18.6,17.75,14.34M,-4.00%
9/27/2022,18.75,18.85,18.85,18.75,3.05M,-0.53%
9/26/2022,18.85,18.5,19,18.85,3.31M,1.89%
9/23/2022,18.5,19.1,19.15,18.5,4.37M,-3.14%
9/22/2022,19.1,19.25,19.2,19.1,3.60M,-0.78%
9/21/2022,19.25,19.25,19.4,17.55,4.99M,-1.53%
9/20/2022,19.55,19.65,19.7,19.25,35.82M,-0.51%
9/19/2022,19.65,19.7,19.8,19.65,6.11M,-0.25%
9/16/2022,19.7,19.7,19.7,19.7,6.68M,0.00%
9/15/2022,19.7,19.75,19.7,19.7,4.88M,-0.25%
9/14/2022,19.75,19.8,19.8,19.75,9.48M,-0.25%
9/13/2022,19.8,19.8,19.8,19.8,7.08M,0.00%
9/12/2022,19.8,19.7,19.8,19.8,19.47M,0.51%
9/9/2022,19.7,19.8,19.85,19.7,5.25M,-0.51%
9/8/2022,19.8,19.8,19.9,19.75,4.87M,0.00%
9/7/2022,19.8,19.8,19.9,19.8,9.30M,0.00%
9/6/2022,19.8,19.9,19.95,19.8,9.20M,-0.50%
9/5/2022,19.9,19.8,20,19.9,10.00M,0.51%
9/2/2022,19.8,19.85,19.85,19.8,13.04M,-0.25%
9/1/2022,19.85,19.85,19.95,19.8,34.25M,0.00%
8/31/2022,19.85,19.85,19.9,19.8,5.55M,0.00%
8/30/2022,19.85,19.9,19.9,19.8,5.51M,-0.25%
8/29/2022,19.9,20,20,19.9,9.75M,-0.50%
8/26/2022,20,19.95,20.1,20,9.34M,0.25%
8/25/2022,19.95,20.1,20.2,19.95,10.66M,-0.75%
8/24/2022,20.1,20.2,20.25,20.05,16.09M,-0.50%
8/23/2022,20.2,20.25,20.25,20.15,9.66M,-0.25%
8/22/2022,20.25,20.3,20.3,20.2,8.58M,-0.25%
8/19/2022,20.3,20.3,20.4,20.3,8.92M,0.00%
8/18/2022,20.3,20.3,20.3,20.25,6.51M,0.00%
8/17/2022,20.3,20.3,20.35,20.3,4.26M,0.00%
8/16/2022,20.3,20.35,20.35,20.25,9.79M,-0.25%
8/15/2022,20.35,20.4,20.5,20.25,15.52M,-0.25%
8/12/2022,20.4,20.45,20.55,20.4,7.53M,-0.24%
8/11/2022,20.45,20.55,20.55,20.45,6.37M,-0.49%
8/10/2022,20.55,20.55,20.55,20.5,9.31M,0.00%
8/9/2022,20.55,20.5,20.6,20.45,7.85M,0.24%
8/8/2022,20.5,20.6,20.75,20.5,6.67M,-0.49%
8/5/2022,20.6,20.5,20.6,20.45,21.70M,0.49%
8/4/2022,20.5,20.4,20.5,20.45,5.63M,0.49%
8/3/2022,20.4,20.35,20.45,20.4,6.44M,0.25%
8/2/2022,20.35,20,20.5,20.3,9.37M,1.75%
8/1/2022,20,19.85,20,19.9,21.37M,0.76%
7/29/2022,19.85,18.9,20,19,10.99M,5.03%
7/28/2022,18.9,19.6,19.85,18.9,12.68M,-3.57%
7/27/2022,19.6,20.4,20.35,19.6,15.70M,-3.92%
7/26/2022,20.4,20.7,20.65,20.35,12.69M,-1.45%
7/25/2022,20.7,20.75,20.8,20.7,5.10M,-0.24%
7/22/2022,20.75,20.85,20.8,20.65,36.39M,-0.48%
7/21/2022,20.85,20.9,21.2,20.75,33.85M,-0.24%
7/20/2022,20.9,21.45,21.45,20.6,16.82M,-2.56%
7/19/2022,21.45,21.35,21.6,21.35,8.88M,0.47%
7/18/2022,21.35,20.95,21.35,21.2,5.89M,1.91%
7/15/2022,20.95,20.7,21.05,20.7,14.84M,1.21%
7/14/2022,20.7,20.4,20.7,20.45,6.02M,1.47%
7/13/2022,20.4,20.4,20.5,20.4,51.89M,0.00%
7/8/2022,20.4,20.4,20.5,20.4,17.86M,0.00%
7/7/2022,20.4,20.3,20.5,20.2,19.45M,0.49%
7/6/2022,20.3,20.45,20.45,20.3,13.11M,-0.73%
7/5/2022,20.45,20.45,20.5,20.35,29.02M,0.00%
7/4/2022,20.45,20.45,20.55,20.45,20.18M,0.00%
7/1/2022,20.45,20.5,20.5,20.45,23.47M,-0.24%
6/30/2022,20.5,20.5,20.5,20.4,15.16M,0.00%
6/29/2022,20.5,20.7,20.65,20.5,42.15M,-0.97%
6/28/2022,20.7,20.85,20.85,20.5,14.11M,-0.72%
6/27/2022,20.85,20.9,20.95,20.75,10.18M,-0.24%
6/24/2022,20.9,20.95,20.95,20.9,7.04M,-0.24%
6/23/2022,20.95,21,21,20.9,7.20M,-0.24%
6/22/2022,21,21,21,21,15.83M,0.00%
6/21/2022,21,21.2,21.2,21,17.29M,0.00%
6/20/2022,21,21.05,21.5,21,11.30M,-0.24%
6/17/2022,21.05,21.5,21.7,21.05,16.78M,-2.09%
6/16/2022,21.5,21.65,21.8,21.5,9.64M,-0.69%
6/15/2022,21.65,21.5,22,21.65,24.39M,0.70%
6/14/2022,21.5,22,22,21.5,20.41M,-2.27%
6/10/2022,22,22.2,22.2,21.95,17.89M,-0.90%
6/9/2022,22.2,22.4,22.4,22,22.22M,-0.89%
6/8/2022,22.4,22.4,22.5,22.4,4.46M,0.00%
6/7/2022,22.4,22.5,22.5,22.35,8.68M,-0.44%
6/6/2022,22.5,22.55,22.55,22.5,6.34M,-0.22%
6/3/2022,22.55,22.55,22.6,22.55,9.06M,0.00%
6/2/2022,22.55,22.6,22.8,22.5,17.80M,-0.22%
6/1/2022,22.6,22.55,22.6,22.55,20.12M,0.22%
5/31/2022,22.55,22.9,22.9,22.55,5.91M,-1.53%
5/30/2022,22.9,23,23,22.9,6.20M,-0.43%
5/27/2022,23,23,23.2,23,20.14M,0.00%
5/26/2022,23,22.4,23.5,23,20.65M,2.68%
5/25/2022,22.4,23,22.85,21.65,13.98M,-2.61%
5/24/2022,23,23.5,23.5,23,14.80M,-2.13%
5/23/2022,23.5,23.7,23.65,23.45,12.87M,-0.84%
5/20/2022,23.7,23.9,23.8,23.7,5.54M,-0.84%
5/19/2022,23.9,23.9,23.9,23.85,13.73M,0.00%
5/18/2022,23.9,23.9,23.95,23.85,65.93M,0.00%
5/17/2022,23.9,23.95,24,23.9,50.39M,-0.21%
5/16/2022,23.95,23.9,24,23.9,10.26M,0.21%
5/13/2022,23.9,23.6,23.9,23.75,13.96M,1.27%
5/12/2022,23.6,23.95,23.9,23.6,13.27M,-1.46%
5/11/2022,23.95,23.75,24,23.75,18.86M,0.84%
5/10/2022,23.75,23.75,23.8,23.6,51.96M,0.00%
5/9/2022,23.75,23.4,23.95,23.3,24.76M,1.50%
